Type,Member,ExistsInProd,Action,Note
ApexClass,ACT_BusinessHoursHelper_cls,False,NEW,
ApexClass,ACT_BusinessHoursHelper_cls_Test,False,NEW,
ApexClass,ACT_BusinessHoursHelperDummyBatch_Test,False,NEW,
ApexClass,PSTA_FACCadenceCompletion_cls,False,NEW,
ApexClass,PSTA_MetaMensualDashboard_ctr,False,NEW,
ApexClass,PSTA_MetaMensualDashboard_ctr_tst,False,NEW,
ApexClass,PSTA_PostCargaPostventa_bch,False,NEW,
ApexClass,PSTA_PostCargaPostventa_cls,False,NEW,
ApexClass,PSTA_PostCargaPostventa_Request,False,NEW,
ApexClass,PSTA_PostCargaPostventa_sch,False,NEW,
ApexClass,PSTA_PostCargaPostventa_soql,False,NEW,
ApexClass,PSTA_PostCargaPostventaCadencias_qbl,False,NEW,
ApexClass,PSTA_RegistroResumenGlobalMensual_bch,False,NEW,
ApexClass,PSTA_RegistroResumenGlobalMensual_cls,False,NEW,
ApexClass,PSTA_RegistroResumenGlobalMensual_sch,False,NEW,
ApexClass,PSTA_RegistroResumenGlobal_bch,False,NEW,
ApexClass,PSTA_RegistroResumenGlobal_bch_Test,False,NEW,
ApexClass,PSTA_RegistroResumenGlobal_sch,False,NEW,
ApexClass,PSTA_RegistroResumenGlobal_sch_tst,False,NEW,
ApexClass,PSTA_RResumenMensual_bch_tst,False,NEW,
ApexClass,PSTA_RResumenMensual_cls_tst,False,NEW,
ApexClass,PSTA_RResumenMensual_sch_tst,False,NEW,
ApexClass,PSTA_RResumenMes_thr,False,NEW,
ApexClass,PSTA_ResetearEstatusContacto_bch,False,NEW,
ApexClass,PSTA_ResetearEstatusContacto_bch_Test,False,NEW,
ApexClass,PSTA_ResetearEstatusContacto_sch,False,NEW,
ApexClass,PSTA_ResetearEstatusContacto_sch_tst,False,NEW,
ApexClass,PV_GenerarTareasPeriodicas,False,NEW,
ApexClass,PV_GenerarTareasPeriodicas_bch,False,NEW,
ApexClass,PV_GenerarTareasPeriodicas_bch_Test,False,NEW,
ApexClass,PV_GenerarTareasPeriodicas_sch,False,NEW,
ApexClass,PV_GenerarTareasPeriodicas_sch_Test,False,NEW,
ApexClass,PV_GenerarTareasPeriodicasSelector_cls,False,NEW,
ApexTrigger,ResumenGlobalPostventa_trg,False,NEW,
Flow,ACT_CrearTarea_OpptyStage_UpdateResumen,False,NEW,
Flow,ACT_CrearTarea_OpptyStage_UpdateResumenMensual,False,NEW,
Flow,PV_ActualizaResumenPostventa,False,NEW,
FlowDefinition,ACT_CrearTarea_OpptyStage_UpdateResumen,False,NEW,validated via Flow list
FlowDefinition,ACT_CrearTarea_OpptyStage_UpdateResumenMensual,False,NEW,validated via Flow list
FlowDefinition,PV_ActualizaResumenPostventa,False,NEW,validated via Flow list
CustomField,ACT_BatchConfig__mdt.BusinessHoursName__c,False,NEW,
CustomField,Account.ID_Asesor__c,False,NEW,
CustomField,Contract.Status__c,False,NEW,
CustomField,Opportunity.FechaContactoOpp__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.ContactadosMensual__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.ExternalId_Nomina__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.ExternalId_NominaFecha__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.MetaMensual__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.PorcentajeAvanceMensual__c,False,NEW,
CustomMetadata,ACT_BatchConfig.PSTA_RegistroResumenGlobal,False,NEW,usually managed manually when using Change Sets
CustomMetadata,ACT_BatchConfig.PSTA_ResetearEstatusContacto,False,NEW,usually managed manually when using Change Sets
CustomMetadata,ACT_BatchConfig.PV_GenerarTareasPeriodicas,False,NEW,usually managed manually when using Change Sets
CustomObject,ACT_BatchConfig__mdt,False,NEW,
Layout,ACT_BatchConfig__mdt-ACT Batch Config Layout,False,NEW,
PermissionSet,AdministradorPostventa,False,NEW,
PermissionSet,BanqueroPostventa,False,NEW,
PermissionSet,Control_Tareas_Postventa,False,NEW,
PermissionSet,DirectorPostventa,False,NEW,
ReportType,OportunidadesConPolizas,False,NEW,
ReportType,Reporte_Resumen_Global_PostVenta,False,NEW,
ReportFolder,Postventa,False,NEW,
Report,Postventa/Copy_of_Categoras_de_contacto_56G,False,NEW,
Report,Postventa/Meta_mensual_Contactados_mBJ,False,NEW,
Report,Postventa/Meta_mensual_resumen_global,False,NEW,
Report,Postventa/Resumen_Global_Diario_Mensual,False,NEW,
DashboardFolder,Postventa,False,NEW,
Dashboard,Postventa/BOrPHuSRgxobFUGfBCNRiUgZHyZRDN,False,NEW,
Dashboard,Postventa/Estatus_contacto_clientes_resumen_global,False,NEW,
Dashboard,Postventa/fSZMSKeDwQsurNjEcFpHSwVhXTzuxy1,False,NEW,
Dashboard,Postventa/Meta_mensual_resumen_global,False,NEW,
